Reading_ID,Temperature_C,Vibration_mm_s,Inlet_Pressure_bar,Outlet_Pressure_bar,Flow_Rate_Lmin,RPM,Power_kW,Operating_Hours,Condition
1,70.3,3.2,1.14,5.26,115.5,1452.0,4.19,7.0,Normal
2,69.1,2.94,1.17,5.19,115.8,1451.0,4.33,45.0,Normal
3,70.2,3.26,1.15,5.03,124.1,1460.0,4.22,39.0,Normal
4,71.1,3.61,1.17,5.12,118.0,1440.0,4.26,25.0,Normal
5,70.1,2.91,1.19,5.17,120.3,1429.0,4.55,81.0,Normal
6,70.1,2.91,1.24,5.01,115.6,1452.0,4.5,0.0,Normal
7,68.6,3.63,1.18,5.11,115.7,1453.0,4.11,122.0,Normal
8,68.7,3.31,1.12,5.28,121.2,1468.0,4.42,19.0,Normal
9,67.2,2.81,1.26,5.37,113.9,1435.0,4.42,61.0,Normal
10,73.5,3.22,1.16,5.15,116.8,1464.0,4.13,89.0,Normal
11,67.5,2.82,1.2,5.29,118.1,1478.0,4.42,96.0,Normal
12,68.6,2.82,1.22,4.97,118.3,1445.0,4.53,140.0,Normal
13,68.6,3.1,1.21,5.28,117.5,1434.0,4.13,88.0,Normal
14,71.8,2.24,1.25,5.1,119.2,1445.0,4.16,138.0,Normal
15,69.4,2.31,1.22,5.24,120.1,1450.0,4.45,123.0,Normal
16,72.5,2.78,1.16,5.17,120.2,1457.0,4.34,159.0,Normal
17,68.7,2.6,1.31,5.36,115.0,1443.0,4.38,158.0,Normal
18,70.6,3.13,1.21,5.09,117.1,1469.0,4.35,173.0,Normal
19,68.3,2.64,1.19,5.27,121.6,1437.0,4.36,164.0,Normal
20,74.3,2.44,1.25,5.17,120.7,1429.0,4.1,175.0,Normal
21,67.6,3.59,1.21,5.18,113.9,1463.0,4.46,209.0,Normal
22,70.6,2.91,1.22,5.18,119.0,1423.0,4.48,238.0,Normal
23,71.3,3.03,1.32,5.1,112.0,1448.0,4.27,202.0,Normal
24,70.9,2.44,1.19,5.2,118.1,1487.0,4.29,204.0,Normal
25,69.7,2.79,1.18,5.19,123.7,1450.0,4.07,258.0,Normal
26,69.8,3.05,1.21,5.23,115.1,1436.0,4.38,249.0,Normal
27,70.1,2.55,1.25,5.21,115.5,1449.0,4.39,285.0,Normal
28,69.7,3.16,1.12,5.3,120.3,1449.0,4.29,243.0,Normal
29,72.0,2.77,1.1,5.31,113.3,1452.0,4.47,227.0,Normal
30,74.5,2.89,1.17,5.07,116.1,1458.0,4.25,274.0,Normal
31,68.9,2.77,1.12,5.3,119.8,1437.0,4.39,277.0,Normal
32,67.3,3.75,1.18,5.06,116.1,1470.0,4.15,308.0,Normal
33,69.9,3.0,1.22,5.27,117.3,1453.0,4.3,301.0,Normal
34,75.2,2.59,1.16,5.27,120.2,1459.0,4.28,352.0,Normal
